prepared_state,measured_0,measured_1,error_rate,error_type,noise_strength,gate_count,circuit_depth,has_h_gate
1,190,834,0.185546875,phase_flip,0.18890929628146844,5,7,1
1,448,576,0.2744140625,phase_flip,0.08734417993109374,12,14,1
0,179,845,0.033203125,depolarizing,0.010731238558064132,8,9,1
0,513,511,0.3427734375,phase_flip,0.23864775878442787,13,14,1
1,528,496,0.0244140625,readout,0.40146109284927056,19,21,1
1,514,510,0.3408203125,depolarizing,0.20359090383502476,9,11,1
0,327,697,0.05859375,readout,0.14997736666206665,19,20,1
1,494,530,0.025390625,depolarizing,0.412015352378405,7,9,0
1,498,526,0.3359375,bit_flip,0.13091550266884244,9,11,1
0,519,505,0.0068359375,depolarizing,0.19564466970362795,17,18,1
0,513,511,0.3505859375,bit_flip,0.3501773858725144,13,14,1
1,335,689,0.3271484375,bit_flip,0.03927094566886152,15,17,1
1,516,508,0.2314453125,phase_flip,0.40038118896596603,15,17,1
0,527,497,0.4853515625,depolarizing,0.3310289397895719,17,18,1
1,540,484,0.0234375,readout,0.18937080781881352,9,11,1
0,499,525,0.353515625,bit_flip,0.4166391417778058,15,16,1
1,536,488,0.037109375,readout,0.34377262016532134,13,15,1
1,514,510,0.005859375,readout,0.3124844404178045,17,19,1
1,380,644,0.1259765625,bit_flip,0.021257940687552535,17,19,1
0,515,509,0.0,readout,0.34011719716285344,13,14,1
0,891,133,0.1298828125,bit_flip,0.06383250077706752,5,6,1
0,505,519,0.0087890625,bit_flip,0.035478009807905796,8,9,1
1,545,479,0.3916015625,phase_flip,0.2415296275816282,14,16,1
0,502,522,0.0048828125,readout,0.22360080337547325,11,12,1
0,497,527,0.009765625,bit_flip,0.12753955322780317,16,17,1
0,478,546,0.0517578125,phase_flip,0.42085367171151666,7,8,0
1,531,493,0.0341796875,bit_flip,0.445049707212292,17,19,1
1,493,531,0.03515625,phase_flip,0.055653208572249036,6,8,1
1,687,337,0.3291015625,readout,0.31706250341115455,5,7,1
1,502,522,0.0048828125,depolarizing,0.048368544076189124,14,16,1
1,531,493,0.2783203125,bit_flip,0.19294449983266596,12,14,1
0,496,528,0.0380859375,phase_flip,0.21011156613871287,17,18,1
1,510,514,0.013671875,depolarizing,0.26735136671063137,6,8,1
